I have successfully retrieved the complete README from the public-apis repository (1958 lines). Here is the full structured data organized by all 50 categories.

---

## Complete Public APIs Reference (from github.com/public-apis/public-apis)

**Total categories: 50**

---

### 1. Animals (28 APIs)

| Name | Description | Auth | HTTPS | CORS |
| OpenAPIHub | The All-in-one API Platform | X-Mashape-Key | Yes | Unknown |
| OpenGraphr | Retrieve Open Graph data from an URL | apiKey | Yes | Unknown |
| oyyi | API for Fake Data, image/video conversion, optimization | No | Yes | Yes |
| PageCDN | Public API for javascript, css and font libraries | apiKey | Yes | Yes |
| Postman | Tool for testing APIs | apiKey | Yes | Unknown |
| ProxyCrawl | Scraping and crawling anticaptcha service | apiKey | Yes | Unknown |
| ProxyKingdom | Rotating Proxy API | apiKey | Yes | Yes |
| Pusher Beams | Push notifications for Android & iOS | apiKey | Yes | Unknown |
| QR code (qrtag.net) | Create an easy to read QR code and URL shortener | No | Yes | Yes |
| QR code (goqr.me) | Generate and decode / read QR code graphics | No | Yes | Unknown |
| Qrcode Monkey | Integrate custom looking QR codes | No | Yes | Unknown |
| QuickChart | Generate chart and graph images | No | Yes | Yes |
| Random Stuff | AI Response, jokes, memes at lightning-fast speed | apiKey | Yes | Yes |
| Rejax | Reverse AJAX service to notify clients | apiKey | Yes | No |
| ReqRes | A hosted REST-API ready to respond to your AJAX requests | No | Yes | Unknown |
| RSS feed to JSON | Returns RSS feed in JSON format | No | Yes | Yes |
| SavePage.io | Free RESTful API to screenshot any website | apiKey | Yes | Yes |
| ScrapeNinja | Scraping API with Chrome fingerprint and residential proxies | apiKey | Yes | Unknown |
| ScraperApi | Easily build scalable web scrapers | apiKey | Yes | Unknown |
| scraperBox | Undetectable web scraping API | apiKey | Yes | Yes |
| scrapestack | Real-time, Scalable Proxy & Web Scraping REST API | apiKey | Yes | Unknown |
| ScrapingAnt | Headless Chrome scraping with a simple API | apiKey | Yes | Unknown |
| ScrapingDog | Proxy API for Web scraping | apiKey | Yes | Unknown |
| Screenshot | Take programmatic screenshots of web pages | apiKey | Yes | Yes |
| ScreenshotAPI.net | Create pixel-perfect website screenshots | apiKey | Yes | Yes |
| Serialif Color | Color conversion, complementary, grayscale | No | Yes | No |
| serpstack | Real-Time & Accurate Google Search Results API | apiKey | Yes | Yes |
| Sheetsu | Easy google sheets integration | apiKey | Yes | Unknown |
| SHOUTCLOUD | ALL-CAPS AS A SERVICE | No | No | Unknown |
| Sonar | Project Sonar DNS Enumeration API | No | Yes | Yes |
| SonarQube | Detect bugs, code smells & security vulnerabilities | OAuth | Yes | Unknown |
| StackExchange | Q&A forum for developers | OAuth | Yes | Unknown |
| Statically | A free CDN for developers | No | Yes | Yes |
| Supportivekoala | Autogenerate images with template | apiKey | Yes | Yes |
| Suprsonic | Unified agent API: search, scrape, enrich, image gen, TTS, STT, messaging | apiKey | Yes | Yes |
| Thunderbit | Extract web pages as Markdown or structured data for AI apps | apiKey | Yes | Unknown |
| Tyk | Api and service management platform | apiKey | Yes | Yes |
| Wandbox | Code compiler supporting 35+ languages | No | Yes | Unknown |
| WebScraping.AI | Web Scraping API with built-in proxies and JS rendering | apiKey | Yes | Yes |
| ZenRows | Web Scraping API that bypasses anti-bot solutions | apiKey | Yes | Unknown |

---

### 16. Dictionaries (13 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Chinese Character Web | Chinese character definitions and pronunciations | No | No | No |
| Chinese Text Project | Online open-access digital library for pre-modern Chinese texts | No | Yes | Unknown |
| Collins | Bilingual Dictionary and Thesaurus Data | apiKey | Yes | Unknown |
| Free Dictionary | Definitions, phonetics, pronunciations, parts of speech, examples, synonyms | No | Yes | Unknown |
| Indonesia Dictionary | Indonesia dictionary many words | No | Yes | Unknown |
| Lingua Robot | Word definitions, pronunciations, synonyms, antonyms | apiKey | Yes | Yes |
| Merriam-Webster | Dictionary and Thesaurus Data | apiKey | Yes | Unknown |
| OwlBot | Definitions with example sentence and photo | apiKey | Yes | Yes |
| Oxford | Dictionary Data | apiKey | Yes | No |
| Synonyms | Synonyms, thesaurus and antonyms information | apiKey | Yes | Unknown |
| Wiktionary | Collaborative dictionary data | No | Yes | Yes |
| Wordnik | Dictionary Data | apiKey | Yes | Unknown |
| Words | Definitions and synonyms for more than 150,000 words | apiKey | Yes | Unknown |

---

### 17. Documents & Productivity (30 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Airtable | Integrate with Airtable | apiKey | Yes | Unknown |
| Api2Convert | Online File Conversion API | apiKey | Yes | Unknown |
| apilayer pdflayer | HTML/URL to PDF | apiKey | Yes | Unknown |
| Asana | Programmatic access to all data in your asana system | apiKey | Yes | Yes |
| BuildPDF | Convert HTML, images, and text to PDF | apiKey | Yes | Yes |
| ClickUp | Cloud-based project management tool | OAuth | Yes | Unknown |
| Clockify | REST-based API for push/pull data | apiKey | Yes | Unknown |
| CloudConvert | Online file converter for audio, video, document, ebook, etc | apiKey | Yes | Unknown |
| Cloudmersive Document and Data Conversion | HTML/URL to PDF/PNG, Office documents to PDF | apiKey | Yes | Yes |
| Code::Stats | Automatic time tracking for programmers | apiKey | Yes | No |
| CraftMyPDF | Generate PDF documents from templates | apiKey | Yes | No |
| Flowdash | Automate business workflows | apiKey | Yes | Unknown |
| Html2PDF | HTML/URL to PDF | apiKey | Yes | Unknown |
| iLovePDF | Convert, merge, split, extract text for PDFs | apiKey | Yes | Yes |
| JIRA | Bug tracking and agile project management | OAuth | Yes | Unknown |
| Mattermost | Open source platform for developer collaboration | OAuth | Yes | Unknown |
| Mercury | Web parser | apiKey | Yes | Unknown |
| Monday | Programmatically access and update monday.com data | apiKey | Yes | Unknown |
| Notion | Integrate with Notion | OAuth | Yes | Unknown |
| PandaDoc | DocGen and eSignatures API | apiKey | Yes | No |
| Pocket | Bookmarking service | OAuth | Yes | Unknown |
| Podio | File sharing and productivity | OAuth | Yes | Unknown |
| PrexView | Data from XML or JSON to PDF, HTML or Image | apiKey | Yes | Unknown |
| Restpack | Screenshot, HTML to PDF and content extraction APIs | apiKey | Yes | Unknown |
| Todoist | Todo Lists | OAuth | Yes | Unknown |
| Smart Image Enhancement API | Image upscaling through super-resolution algorithms | apiKey | Yes | Unknown |
| staffSign | Digital employment contract API with QES/eIDAS support | apiKey | Yes | Yes |
| Vector Express v2.0 | Free vector file converting API | No | Yes | No |
| WakaTime | Automated time tracking leaderboards for programmers | No | Yes | Unknown |
| Zube | Full stack project management | OAuth | Yes | Unknown |

---

### 18. Email (19 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| mailboxlayer | Email address validation | apiKey | Yes | Unknown |
| Cloudmersive Validate | Validate email addresses, phone numbers, VAT numbers | apiKey | Yes | Yes |
| Disify | Validate and detect disposable and temporary email addresses | No | Yes | Yes |
| DropMail | GraphQL API for ephemeral e-mail inboxes | No | Yes | Unknown |
| EmailJS | Send emails directly from client-side JavaScript | apiKey | Yes | Yes |
| Email Validation | Validate email addresses for deliverability and spam | apiKey | Yes | Yes |
| EVA | Validate email addresses | No | Yes | Yes |
| Guerrilla Mail | Disposable temporary Email addresses | No | Yes | Unknown |
| ImprovMX | API for free email forwarding service | apiKey | Yes | Unknown |
| Kickbox | Email verification API | No | Yes | Yes |
| mail.gw | 10 Minute Mail | No | Yes | Yes |
| mail.tm | Temporary Email Service | No | Yes | Yes |
| MailboxValidator | Validate email address to improve deliverability | apiKey | Yes | Unknown |
| MailCheck.ai | Prevent users to sign up with temporary email addresses | No | Yes | Unknown |
| Mailtrap | Safe testing of emails sent from development environments | apiKey | Yes | Unknown |
| PostStack | EU-hosted email API for transactional and marketing email | apiKey | Yes | No |
| Sendgrid | Cloud-based SMTP provider | apiKey | Yes | Unknown |
| Sendinblue | Solutions for marketing and/or transactional email and/or SMS | apiKey | Yes | Unknown |
| Verifier | Verifies that a given email is real | apiKey | Yes | Yes |

---

### 19. Entertainment (14 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Anycrap | 35,000+ absurdist AI-generated product concepts | apiKey | Yes | Yes |
| chucknorris.io | JSON API for hand curated Chuck Norris jokes | No | Yes | Unknown |
| Corporate Buzz Words | REST API for Corporate Buzz Words | No | Yes | Yes |
| Excuser | Get random excuses for various situations | No | Yes | Unknown |
| Fun Fact | Randomly select and return a fact from the FFA database | No | Yes | Yes |
| Imgflip | Gets an array of popular memes | No | Yes | Unknown |
| justmeme.wtf | Free meme API with 2400+ templates | No | Yes | Yes |
| Meme Maker | REST API for create your own meme | No | Yes | Unknown |
| Memesio | Meme creation API with templates | No | Yes | No |
| NaMoMemes | Memes on Narendra Modi | No | Yes | Unknown |
| Random Useless Facts | Get useless, but true facts | No | Yes | Unknown |
| TasteDive | Content-based recommendations for movies, music, TV shows, books | apiKey | Yes | No |
| Techy | JSON and Plaintext API for tech-savvy sounding phrases | No | Yes | Unknown |
| Yo Momma Jokes | REST API for Yo Momma Jokes | No | Yes | Unknown |

---

### 20. Environment (16 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| BreezoMeter Pollen | Daily Forecast pollen conditions data | apiKey | Yes | Unknown |
| Carbon Interface | Calculate carbon (C02) emissions estimates | apiKey | Yes | Yes |
| Climatiq | Calculate environmental footprint from emission-generating activities | apiKey | Yes | Yes |
| Cloverly | API calculates impact of carbon-intensive activities | apiKey | Yes | Unknown |
| CO2 Offset | API calculates and validates the carbon footprint | No | Yes | Unknown |
| Danish data service Energi | Open energy data from Energinet | No | Yes | Unknown |
| GrunstromIndex | Green Power Index for Germany | No | No | Yes |
| IQAir | Air quality and weather data | apiKey | Yes | Unknown |
| Luchtmeetnet | Air quality components for The Netherlands (RIVM) | No | Yes | Unknown |
| National Grid ESO | Open data from Great Britain's Electricity System Operator | No | Yes | Unknown |
| OpenAQ | Open air quality data | apiKey | Yes | Unknown |
| PM2.5 Open Data Portal | Open low-cost PM2.5 sensor data | No | Yes | Unknown |
| PM25.in | Air quality of China | apiKey | No | Unknown |
| PVWatts | Energy production photovoltaic (PV) energy systems | apiKey | Yes | Unknown |
| Srp Energy | Hourly usage energy report for Srp customers | apiKey | Yes | No |
| UK Carbon Intensity | Official Carbon Intensity API for Great Britain | No | Yes | Unknown |
| Website Carbon | API to estimate the carbon footprint of loading web pages | No | Yes | Unknown |

---

### 21. Events (3 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Eventbrite | Find events | OAuth | Yes | Unknown |
| SeatGeek | Search events, venues and performers | apiKey | Yes | Unknown |
| Ticketmaster | Search events, attractions, or venues | apiKey | Yes | Unknown |

---

### 22. Finance (49 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Marketstack | Real-Time, Intraday & Historical Market Data API | apiKey | Yes | Unknown |
| Aletheia | Insider trading data, earnings call analysis, financial statements | apiKey | Yes | Yes |
| Alpaca | Realtime and historical market data on all US equities and ETFs | apiKey | Yes | Yes |
| Alpha Vantage | Realtime and historical stock data | apiKey | Yes | Unknown |
| Banco do Brasil | All Banco do Brasil financial transaction APIs | OAuth | Yes | Yes |
| Bank Data API | Instant IBAN and SWIFT number validation | apiKey | Yes | Unknown |
| Billplz | Payment platform | apiKey | Yes | Unknown |
| Binlist | Public access to IIN/BIN information database | No | Yes | Unknown |
| Boleto.Cloud | API to generate boletos in Brazil | apiKey | Yes | Unknown |
| Citi | All Citigroup account and statement data APIs | apiKey | Yes | Unknown |
| Econdb | Global macroeconomic data | No | Yes | Yes |
| Fed Treasury | U.S. Department of the Treasury Data | No | Yes | Unknown |
| Finage | Stock, currency, cryptocurrency, indices, and ETFs data provider | apiKey | Yes | Unknown |
| Financial Modeling Prep | Realtime and historical stock data | apiKey | Yes | Unknown |
| Finnhub | Real-Time RESTful APIs and Websocket for Stocks, Currencies, Crypto | apiKey | Yes | Unknown |
| FRED | Economic data from the Federal Reserve Bank of St. Louis | apiKey | Yes | Yes |
| Front Accounting APIs | Multilingual and multicurrency software for small businesses | OAuth | Yes | Yes |
| Helium | News with media bias scoring, balanced news synthesis, live market data | No | Yes | Yes |
| Hotstoks | Stock market data powered by SQL | apiKey | Yes | Yes |
| IBANforge | IBAN validation and BIC/SWIFT lookup for 75+ countries | No | Yes | Yes |
| IEX Cloud | Realtime & Historical Stock and Market Data | apiKey | Yes | Yes |
| IG | Spreadbetting and CFD Market Data | apiKey | Yes | Unknown |
| Indian Mutual Fund | Get complete history of India Mutual Funds Data | No | Yes | Unknown |
| Intrinio | A wide selection of financial data feeds | apiKey | Yes | Unknown |
| Klarna | Klarna payment and shopping service | apiKey | Yes | Unknown |
| MercadoPago | Mercado Pago API reference | apiKey | Yes | Unknown |
| Mono | Connect with users' bank accounts in Africa | apiKey | Yes | Unknown |
| Moov | Simple platform to send, receive, and store money | apiKey | Yes | Unknown |
| Nordigen | Connect to bank accounts using official bank APIs | apiKey | Yes | Unknown |
| OpenFIGI | Equity, index, futures, options symbology from Bloomberg LP | apiKey | Yes | Yes |
| Plaid | Connect with user's bank accounts | apiKey | Yes | Unknown |
| Polygon | Historical stock market data | apiKey | Yes | Unknown |
| Portfolio Optimizer | Portfolio analysis and optimization | No | Yes | Yes |
| Razorpay IFSC | Indian Financial Systems Code (Bank Branch Codes) | No | Yes | Unknown |
| Real Time Finance | Websocket API for realtime stock data | apiKey | No | Unknown |
| SEC EDGAR Data | API to access annual reports of public US companies | No | Yes | Yes |
| SmartAPI | Gain access to SmartAPI for broking services | apiKey | Yes | Unknown |
| StockData | Real-Time, Intraday & Historical Market Data, News and Sentiment | apiKey | Yes | Yes |
| Styvio | Realtime and historical stock data and sentiment | apiKey | Yes | Unknown |
| Tax Data API | Instant VAT number and tax validation | apiKey | Yes | Unknown |
| Tradier | US equity/option market data | OAuth | Yes | Yes |
| Twelve Data | Stock market data (real-time & historical) | apiKey | Yes | Unknown |
| VAT Validation | Validate VAT numbers and calculate VAT rates | apiKey | Yes | Yes |
| WallstreetBets | WallstreetBets Stock Comments Sentiment Analysis | No | Yes | Unknown |
| Yahoo Finance | Real time low latency Yahoo Finance API | apiKey | Yes | Yes |
| YNAB | Budgeting & Planning | OAuth | Yes | Yes |
| Zoho Books | Online accounting software | OAuth | Yes | Unknown |

---

### 23. Food & Drink (25 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| BaconMockup | Resizable bacon placeholder images | No | Yes | Yes |
| Chomp | Data about various grocery products and foods | apiKey | Yes | Unknown |
| Coffee | Random pictures of coffee | No | Yes | Unknown |
| Edamam nutrition | Nutrition Analysis | apiKey | Yes | Unknown |
| Edamam recipes | Recipe Search | apiKey | Yes | Unknown |
| Foodish | Random pictures of food dishes | No | Yes | Yes |
| Fruityvice | Data about all kinds of fruit | No | Yes | Unknown |
| Kroger | Supermarket Data | apiKey | Yes | Unknown |
| LCBO | Alcohol | apiKey | Yes | Unknown |
| Open Brewery DB | Breweries, Cideries and Craft Beer Bottle Shops | No | Yes | Yes |
| Open Food Facts | Food Products Database | No | Yes | Unknown |
| PunkAPI | Brewdog Beer Recipes | No | Yes | Unknown |
| RecipeAPI | Recipes, ingredients, nutrition data and cooking instructions | apiKey | Yes | Yes |
| Rustybeer | Beer brewing tools | No | Yes | No |
| Spoonacular | Recipes, Food Products, and Meal Planning | apiKey | Yes | Unknown |
| Systembolaget | Government owned liquor store in Sweden | apiKey | Yes | Unknown |
| TacoFancy | Community-driven taco database | No | No | Unknown |
| Tasty | API to query data about recipe, plan, ingredients | apiKey | Yes | Unknown |
| The Report of the Week | Food & Drink Reviews | No | Yes | Unknown |
| TheCocktailDB | Cocktail Recipes | apiKey | Yes | Yes |
| TheMealDB | Meal Recipes | apiKey | Yes | Yes |
| Untappd | Social beer sharing | OAuth | Yes | Unknown |
| What's on the menu? | NYPL human-transcribed historical menu collection | apiKey | No | Unknown |
| WhiskyHunter | Past online whisky auctions statistical data | No | Yes | Unknown |
| Zestful | Parse recipe ingredients | apiKey | Yes | Yes |

---

### 24. Games & Comics (96 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| AmiiboAPI | Nintendo Amiibo Information | No | Yes | Yes |
| Animal Crossing: New Horizons | API for critters, fossils, art, music, furniture and villagers | No | Yes | Unknown |
| Autochess VNG | Rest Api for Autochess VNG | No | Yes | Yes |
| Barter.VG | Information about Game, DLC, Bundles, Giveaways, Trading | No | Yes | Yes |
| Battle.net | Diablo III, Hearthstone, StarCraft II and WoW data APIs | OAuth | Yes | Yes |
| Board Game Geek | Board games, RPG and videogames | No | Yes | No |
| Brawl Stars | Brawl Stars Game Information | apiKey | Yes | Unknown |
| Bugsnax | Get information about Bugsnax | No | Yes | Yes |
| CheapShark | Steam/PC Game Prices and Deals | No | Yes | Yes |
| Chess.com | Chess.com read-only REST API | No | Yes | Unknown |
| Chuck Norris Database | Jokes | No | No | Unknown |
| Clash of Clans | Clash of Clans Game Information | apiKey | Yes | Unknown |
| Clash Royale | Clash Royale Game Information | apiKey | Yes | Unknown |
| Comic Vine | Comics | No | Yes | Unknown |
| Crafatar | API for Minecraft skins and faces | No | Yes | Yes |
| Cross Universe | Cross Universe Card Data | No | Yes | Yes |
| Deck of Cards | Deck of Cards | No | No | Unknown |
| Destiny The Game | Bungie Platform API | apiKey | Yes | Unknown |
| Digimon Information | Information about digimon creatures | No | Yes | Unknown |
| Digimon TCG | Search for Digimon cards | No | Yes | Unknown |
| Disney | Information of Disney characters | No | Yes | Yes |
| Dota 2 | Player stats, Match stats, Rankings for Dota 2 | apiKey | Yes | Unknown |
| Dungeons and Dragons | Reference for 5th edition spells, classes, monsters | No | No | No |
| Dungeons and Dragons (Alternate) | All monsters and spells from the SRD with search API | No | Yes | Yes |
| Eve Online | Third-Party Developer Documentation | OAuth | Yes | Unknown |
| FFXIV Collect | Final Fantasy XIV data on collectables | No | Yes | Yes |
| FIFA Ultimate Team | FIFA Ultimate Team items API | No | Yes | Unknown |
| Final Fantasy XIV | Final Fantasy XIV Game data API | No | Yes | Yes |
| Fortnite | Fortnite Stats | apiKey | Yes | Unknown |
| Forza | Show random image of car from Forza | No | Yes | Unknown |
| FreeToGame | Free-To-Play Games Database | No | Yes | Yes |
| Fun Facts | Random Fun Facts | No | Yes | Yes |
| FunTranslations | Translate Text into funny languages | No | Yes | Yes |
| GamerPower | Game Giveaways Tracker | No | Yes | Yes |
| GDBrowser | Easy way to use the Geometry Dash Servers | No | Yes | Unknown |
| Geek-Jokes | Fetch a random geeky/programming related joke | No | Yes | Yes |
| Genshin Impact | Genshin Impact game data | No | Yes | Yes |
| Giant Bomb | Video Games | apiKey | Yes | Unknown |
| GraphQL Pokemon | GraphQL powered Pokemon API. Supports generations 1 through 8 | No | Yes | Yes |
| Guild Wars 2 | Guild Wars 2 Game Information | apiKey | Yes | Unknown |
| GW2Spidy | GW2Spidy API, Items data on the Guild Wars 2 Trade Market | No | Yes | Unknown |
| Halo | Halo 5 and Halo Wars 2 Information | apiKey | Yes | Unknown |
| Hearthstone | Hearthstone Cards Information | X-Mashape-Key | Yes | Unknown |
| Humble Bundle | Humble Bundle's current bundles | apiKey | Yes | Unknown |
| Humor | Humor, Jokes, and Memes | apiKey | Yes | Unknown |
| Hypixel | Hypixel player stats | apiKey | Yes | Unknown |
| Hyrule Compendium | Data on all interactive items from The Legend of Zelda: BOTW | No | Yes | Unknown |
| Hytale | Hytale blog posts and jobs | No | Yes | Unknown |
| IGDB.com | Video Game Database | apiKey | Yes | Unknown |
| JokeAPI | Programming, Miscellaneous and Dark Jokes | No | Yes | Yes |
| Jokes One | Joke of the day and large category of jokes | apiKey | Yes | Yes |
| Jservice | Jeopardy Question Database | No | No | Unknown |
| Lichess | Access to all data of users, games, puzzles on Lichess | OAuth | Yes | Unknown |
| Magic The Gathering | Magic The Gathering Game Information | No | No | Unknown |
| Mario Kart Tour | API for Drivers, Karts, Gliders and Courses | OAuth | Yes | Unknown |
| Marvel | Marvel Comics | apiKey | Yes | Unknown |
| Minecraft Server Status | Get Information about a Minecraft Server | No | Yes | No |
| MMO Games | MMO Games Database, News and Giveaways | No | Yes | No |
| mod.io | Cross Platform Mod API | apiKey | Yes | Unknown |
| Mojang | Mojang / Minecraft API | apiKey | Yes | Unknown |
| Monster Hunter World | Monster Hunter World data | No | Yes | Yes |
| Open Trivia | Trivia Questions | No | Yes | Unknown |
| PandaScore | E-sports games and results | apiKey | Yes | Unknown |
| Path of Exile | Path of Exile Game Information | OAuth | Yes | Unknown |
| PlayerDB | Query Minecraft, Steam and XBox Accounts | No | Yes | Unknown |
| Pokeapi | Pokemon Information | No | Yes | Unknown |
| PokeAPI (GraphQL) | The Unofficial GraphQL for PokeAPI | No | Yes | Yes |
| Pokemon TCG | Pokemon TCG Information | No | Yes | Unknown |
| Psychonauts | Psychonauts World Characters Information and PSI Powers | No | Yes | Yes |
| PUBG | Access in-game PUBG data | apiKey | Yes | Yes |
| Puyo Nexus | Puyo Puyo information from Puyo Nexus Wiki | No | Yes | Yes |
| quizapi.io | Access to various kind of quiz questions | apiKey | Yes | Yes |
| Raider | Detailed character and guild rankings for WoW | No | Yes | Unknown |
| RAWG.io | 500,000+ games for 50 platforms including mobiles | apiKey | Yes | Unknown |
| Rick and Morty | All the Rick and Morty information, including images | No | Yes | Yes |
| Riot Games | League of Legends Game Information | apiKey | Yes | Unknown |
| RPS 101 | Rock, Paper, Scissors with 101 objects | No | Yes | Yes |
| RuneScape | RuneScape and OSRS RPGs information | No | Yes | No |
| Sakura CardCaptor | Sakura CardCaptor Cards Information | No | Yes | Unknown |
| Scryfall | Magic: The Gathering database | No | Yes | Yes |
| SpaceTradersAPI | A playable inter-galactic space trading MMO API | OAuth | Yes | Yes |
| Steam (xpaw) | Steam Web API documentation | apiKey | Yes | No |
| Steam (Revadike) | Internal Steam Web API documentation | No | Yes | No |
| SuperHeroes | All SuperHeroes and Villains data | apiKey | Yes | Unknown |
| TCGdex | Multi languages Pokemon TCG Information | No | Yes | Yes |
| Tebex | Tebex API for game purchases | X-Mashape-Key | Yes | No |
| TETR.IO | TETR.IO Tetra Channel API | No | Yes | Unknown |
| Tronald Dump | The dumbest things Donald Trump has ever said | No | Yes | Unknown |
| Universalis | Final Fantasy XIV market board data | No | Yes | Yes |
| Valorant (non-official) | Data of most Valorant in-game items, assets and more | No | Yes | Unknown |
| Warface (non-official) | Official API proxy with better data structure | No | Yes | No |
| Wargaming.net | Wargaming.net info and stats | apiKey | Yes | No |
| When is next MCU film | Upcoming MCU film information | No | Yes | Unknown |
| xkcd | Retrieve xkcd comics as JSON | No | Yes | No |
| Yu-Gi-Oh! | Yu-Gi-Oh! TCG Information | No | Yes | Unknown |

---

### 25. Geocoding (92 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| IPstack | Locate and identify website visitors by IP address | apiKey | Yes | Unknown |
| ipapi.com | Real-time Geolocation & Reverse IP Lookup REST API | apiKey | Yes | Unknown |
| Actinia Grass GIS | Open source REST API for geographical data using GRASS GIS | apiKey | Yes | Unknown |
| administrative-divisons-db | Get all administrative divisions of a country | No | Yes | Yes |
| ApogeoAPI | Bundled API for countries, states, cities, IP geolocation | apiKey | Yes | Yes |
| adresse.data.gouv.fr | Address database of France, geocoding and reverse | No | Yes | Unknown |
| Airtel IP | IP Geolocation API | No | Yes | Unknown |
| Apiip | Get location information by IP address | apiKey | Yes | Yes |
| Battuta | A (country/region/city) in-cascade location API | apiKey | No | Unknown |
| BdAPIs | Get divisions, districts, and upazzilas of Bangladesh | No | Yes | Unknown |
| BigDataCloud | Fast and accurate IP geolocation APIs | apiKey | Yes | Unknown |
| Bing Maps | Create/customize digital maps based on Bing Maps data | apiKey | Yes | Unknown |
| bng2latlong | Convert British OSGB36 easting/northing to WGS84 lat/lon | No | Yes | Yes |
| Cartes.io | Create maps and markers for anything | No | Yes | Unknown |
| Cep.la | Brazil RESTful API for streets, zip codes, etc | No | No | Unknown |
| CitySDK | Open APIs for select European cities | No | Yes | Unknown |
| Country | Get your visitor's country from their IP | No | Yes | Yes |
| CountryStateCity | World countries, states, regions, provinces, cities | apiKey | Yes | Yes |
| Ducks Unlimited | API explorer for locations and cities | No | Yes | No |
| GeoApi | French geographical data | No | Yes | Unknown |
| Geoapify | Forward and reverse geocoding, address autocomplete | apiKey | Yes | Yes |
| Geocod.io | Address geocoding / reverse geocoding in bulk | apiKey | Yes | Unknown |
| Geocode.xyz | Worldwide forward/reverse geocoding, batch geocoding | No | Yes | Unknown |
| Geocodify.com | Worldwide geocoding, geoparsing and autocomplete | apiKey | Yes | Yes |
| Geodata.gov.gr | Open geospatial data and API service for Greece | No | Yes | Unknown |
| GeoDataSource | Geocoding of city name by lat/lon coordinates | apiKey | Yes | Unknown |
| GeoDB Cities | Get global city, region, and country data | apiKey | Yes | Unknown |
| GeographQL | A Country, State, and City GraphQL API | No | Yes | Yes |
| GeoJS | IP geolocation with ChatOps integration | No | Yes | Yes |
| Geokeo | Geokeo geocoding service with 2500 free requests daily | No | Yes | Yes |
| GeoNames | Place names and other geographical data | No | No | Unknown |
| geoPlugin | IP geolocation and currency conversion | No | Yes | Yes |
| Google Earth Engine | Cloud-based platform for planetary-scale environmental data | apiKey | Yes | Unknown |
| Google Maps | Create/customize digital maps based on Google Maps data | apiKey | Yes | Unknown |
| Graph Countries | Country-related data like currencies, languages, flags | No | Yes | Unknown |
| HackMyIP | IP geolocation, ISP and privacy/VPN scoring | No | Yes | Yes |
| HelloSalut | Get hello translation following user language | No | Yes | Unknown |
| HERE Maps | Create/customize digital maps based on HERE Maps data | apiKey | Yes | Unknown |
| Hirak IP to Country | Ip to location with country code, currency code | apiKey | Yes | Unknown |
| Hong Kong GeoData Store | API for accessing geo-data of Hong Kong | No | Yes | Unknown |
| IBGE | Aggregate services of Brazilian Institute of Geography | No | Yes | Unknown |
| IP 2 Country | Map an IP to a country | No | Yes | Unknown |
| IP Address Details | Find geolocation with ip address | No | Yes | Unknown |
| IP Vigilante | Free IP Geolocation API | No | Yes | Unknown |
| ip-api | Find location with IP address or domain | No | No | Unknown |
| IP Geolocation | Geolocate website visitors from their IPs | apiKey | Yes | Yes |
| IP2Location | IP geolocation web service, 55+ parameters | apiKey | Yes | Unknown |
| IP2Proxy | Detect proxy and VPN using IP address | apiKey | Yes | Unknown |
| ipapi.co | Find IP address location information | No | Yes | Yes |
| IPGEO | Unlimited free IP Address API | No | Yes | Unknown |
| ipgeolocation | IP Geolocation API with free plan 30k requests/month | apiKey | Yes | Yes |
| IPInfoDB | Free Geolocation tools for country, region, city lookup | apiKey | Yes | Unknown |
| ipstack | Locate and identify website visitors by IP address | apiKey | Yes | Unknown |
| Kakao Maps | Kakao Maps provide multiple APIs for Korean maps | apiKey | Yes | Unknown |
| keycdn IP Location Finder | Get IP geolocation data through REST API | apiKey | Yes | Unknown |
| LocationIQ | Forward/reverse geocoding and batch geocoding | apiKey | Yes | Yes |
| Longdo Map | Interactive map with detailed places in Thailand | apiKey | Yes | Yes |
| Mapbox | Create/customize beautiful digital maps | apiKey | Yes | Unknown |
| MapQuest | Access tools and resources to map the world | apiKey | Yes | No |
| Mexico | Mexico RESTful zip codes API | No | Yes | Unknown |
| Nominatim | Worldwide forward / reverse geocoding | No | Yes | Yes |
| One Map, Singapore | Singapore Land Authority REST API services | apiKey | Yes | Unknown |
| OnWater | Determine if a lat/lon is on water or land | No | Yes | Unknown |
| Open Topo Data | Elevation and ocean depth for a lat/lon | No | Yes | No |
| OpenCage | Forward and reverse geocoding using open data | apiKey | Yes | Yes |
| openrouteservice.org | Directions, POIs, isochrones, geocoding, elevation | apiKey | Yes | Unknown |
